GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022400001,1610612737,ATL,Atlanta,1642258,Zaccharie Risacher,Zaccharie,F,,24:49,4.0,13.0,0.308,0.0,4.0,0.0,0.0,2.0,0.0,5.0,4.0,9.0,0.0,3.0,0.0,0.0,2.0,8.0,12.0
0022400001,1610612737,ATL,Atlanta,1630552,Jalen Johnson,Jalen,F,,38:51,8.0,16.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,2.0,10.0,12.0,10.0,3.0,1.0,3.0,4.0,18.0,4.0
0022400001,1610612737,ATL,Atlanta,203991,Clint Capela,Clint,C,,16:52,8.0,11.0,0.727,0.0,0.0,0.0,2.0,4.0,0.5,6.0,3.0,9.0,1.0,2.0,0.0,0.0,0.0,18.0,-11.0
0022400001,1610612737,ATL,Atlanta,1630700,Dyson Daniels,Dyson,G,,40:57,12.0,21.0,0.571,1.0,5.0,0.2,3.0,5.0,0.6,0.0,3.0,3.0,7.0,6.0,0.0,6.0,3.0,28.0,-4.0
0022400001,1610612737,ATL,Atlanta,1630811,Keaton Wallace,Keaton,G,,31:56,3.0,13.0,0.231,1.0,6.0,0.167,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,2.0,1.0,7.0,-6.0
0022400001,1610612737,ATL,Atlanta,1626204,Larry Nance Jr.,Larry,,,27:26,7.0,10.0,0.7,5.0,6.0,0.833,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,19.0,2.0
0022400001,1610612737,ATL,Atlanta,1629726,Garrison Mathews,Garrison,,,23:13,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,2.0,2.0,2.0,-6.0
0022400001,1610612737,ATL,Atlanta,1630168,Onyeka Okongwu,Onyeka,,,30:42,7.0,11.0,0.636,1.0,4.0,0.25,0.0,0.0,0.0,4.0,2.0,6.0,2.0,0.0,0.0,3.0,4.0,15.0,15.0
0022400001,1610612737,ATL,Atlanta,1631223,David Roddy,David,,,5:14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
0022400001,1610612737,ATL,Atlanta,1631230,Dominick Barlow,Dominick,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022400001,1610612737,ATL,Atlanta,1631243,Mouhamed Gueye,Mouhamed,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022400001,1610612737,ATL,Atlanta,1630249,Vít Krejčí,Vít,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022400001,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,,35:56,14.0,22.0,0.636,3.0,6.0,0.5,6.0,10.0,0.6,2.0,3.0,5.0,2.0,1.0,0.0,6.0,3.0,37.0,0.0
0022400001,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,37:26,5.0,16.0,0.313,2.0,9.0,0.222,8.0,8.0,1.0,0.0,6.0,6.0,8.0,1.0,2.0,5.0,3.0,20.0,4.0
0022400001,1610612738,BOS,Boston,201143,Al Horford,Al,C,,25:40,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,8.0,3.0
0022400001,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,,37:52,10.0,15.0,0.667,7.0,12.0,0.583,4.0,5.0,0.8,1.0,5.0,6.0,5.0,1.0,0.0,3.0,2.0,31.0,5.0
0022400001,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,G,,29:00,2.0,5.0,0.4,0.0,3.0,0.0,4.0,4.0,1.0,1.0,2.0,3.0,7.0,0.0,0.0,2.0,0.0,8.0,3.0
0022400001,1610612738,BOS,Boston,1629674,Neemias Queta,Neemias,,,21:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,-6.0
0022400001,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,,,25:17,2.0,8.0,0.25,2.0,8.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,6.0,-9.0
0022400001,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,,,19:06,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,-3.0
0022400001,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,,,4:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
0022400001,1610612738,BOS,Boston,1641775,Jordan Walsh,Jordan,,,4:23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
0022400001,1610612738,BOS,Boston,1641809,Drew Peterson,Drew,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022400001,1610612738,BOS,Boston,1631248,Baylor Scheierman,Baylor,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022400001,1610612738,BOS,Boston,1630214,Xavier Tillman,Xavier,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
