GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,GAME_ID_CLEAN
0022000002,1610612746,LAC,LA,202695,Kawhi Leonard,F,,34:00,4.22,2.55,2,5,7,72,1,0,40,3,4,7,0.571,6,18,0.333,0.385,2,2,1.0,0022000002
0022000002,1610612746,LAC,LA,201587,Nicolas Batum,F,,28:10,4.08,2.06,1,6,7,51,0,0,45,6,0,0,0.0,1,4,0.25,0.25,1,2,0.5,0022000002
0022000002,1610612746,LAC,LA,201586,Serge Ibaka,C,,20:32,3.83,1.4,2,5,7,36,0,0,25,0,1,1,1.0,4,6,0.667,0.713,4,5,0.8,0022000002
0022000002,1610612746,LAC,LA,202331,Paul George,G,,35:46,4.39,2.78,1,10,10,65,0,1,42,3,4,4,1.0,9,14,0.643,0.721,2,4,0.5,0022000002
0022000002,1610612746,LAC,LA,201976,Patrick Beverley,G,,22:07,4.45,1.75,5,3,8,49,0,0,39,3,0,1,0.0,4,8,0.5,0.444,1,2,0.5,0022000002
0022000002,1610612746,LAC,LA,1627826,Ivica Zubac,,,26:31,4.23,2.03,5,6,11,44,0,0,35,1,2,3,0.667,2,2,1.0,0.8,2,4,0.5,0022000002
0022000002,1610612746,LAC,LA,202335,Patrick Patterson,,,19:37,4.22,1.49,1,6,7,20,1,0,14,1,0,0,0.0,1,5,0.2,0.2,2,2,1.0,0022000002
0022000002,1610612746,LAC,LA,101150,Lou Williams,,,25:56,3.98,1.87,0,3,3,53,0,0,41,3,1,4,0.25,3,5,0.6,0.444,1,1,1.0,0022000002
0022000002,1610612746,LAC,LA,1628379,Luke Kennard,,,21:03,4.28,1.64,1,5,6,34,0,1,26,2,1,2,0.5,1,4,0.25,0.333,2,2,1.0,0022000002
0022000002,1610612746,LAC,LA,1629611,Terance Mann,,,1:03,2.95,0.06,0,0,0,3,0,0,1,0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,0022000002
0022000002,1610612746,LAC,LA,202704,Reggie Jackson,,,3:21,4.71,0.31,0,2,2,9,0,0,5,0,0,1,0.0,0,2,0.0,0.0,0,0,0.0,0022000002
0022000002,1610612746,LAC,LA,1629662,Mfiondu Kabengele,,,0:57,2.81,0.05,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022000002
0022000002,1610612746,LAC,LA,1629599,Amir Coffey,,,0:57,2.5,0.04,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022000002
0022000002,1610612746,LAC,LA,1630187,Daniel Oturu,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022000002
0022000002,1610612747,LAL,Los Angeles,2544,LeBron James,F,,28:21,3.88,1.94,4,4,7,76,0,1,48,5,3,7,0.429,4,10,0.4,0.411,1,2,0.5,0022000002
0022000002,1610612747,LAL,Los Angeles,203076,Anthony Davis,F,,30:53,3.73,2.07,1,8,9,48,1,1,27,2,2,4,0.5,6,11,0.545,0.533,0,2,0.0,0022000002
0022000002,1610612747,LAL,Los Angeles,201188,Marc Gasol,C,,12:02,4.04,0.84,0,2,2,9,0,0,8,1,0,0,0.0,0,0,0.0,0.0,1,1,1.0,0022000002
0022000002,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,G,,23:03,4.3,1.77,1,2,2,25,0,0,15,1,0,0,0.0,2,4,0.5,0.5,0,1,0.0,0022000002
0022000002,1610612747,LAL,Los Angeles,203471,Dennis Schröder,G,,27:48,4.59,2.27,3,11,13,72,1,0,50,8,2,7,0.286,3,8,0.375,0.333,1,1,1.0,0022000002
0022000002,1610612747,LAL,Los Angeles,1626149,Montrezl Harrell,,,32:15,4.06,2.38,7,12,19,43,0,0,32,3,5,5,1.0,1,2,0.5,0.856,5,9,0.556,0022000002
0022000002,1610612747,LAL,Los Angeles,202083,Wesley Matthews,,,11:06,4.25,0.86,0,0,0,11,0,0,9,0,0,0,0.0,0,2,0.0,0.0,1,1,1.0,0022000002
0022000002,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,26:38,4.36,2.1,1,2,3,38,0,0,24,0,1,3,0.333,5,8,0.625,0.545,3,3,1.0,0022000002
0022000002,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,19:00,3.65,1.25,2,6,8,17,1,0,13,1,0,1,0.0,1,2,0.5,0.333,0,0,0.0,0022000002
0022000002,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,16:40,4.5,1.35,0,6,6,33,0,0,25,1,0,1,0.0,1,4,0.25,0.2,1,1,1.0,0022000002
0022000002,1610612747,LAL,Los Angeles,1629659,Talen Horton-Tucker,,,10:51,3.98,0.8,0,3,3,11,0,0,9,0,1,1,1.0,1,1,1.0,1.0,1,1,1.0,0022000002
0022000002,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,1:23,4.03,0.11,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022000002
0022000002,1610612747,LAL,Los Angeles,201162,Jared Dudley,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022000002
0022000002,1610612747,LAL,Los Angeles,1628035,Alfonzo McKinnie,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022000002
