GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0022400838,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022400838,1610612755,PHI,Philadelphia,1631223,David Roddy,David,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022400838,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,42.000000:05,114.8,116.3,107.8,111.6,7.0,4.7,0.094,3.0,14.3,0.0,0.22,0.125,4.8,0.367,0.465,0.191,0.193,100.47,98.1,81.75,86,0.093
0022400838,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,38.000000:36,121.1,122.8,108.0,107.5,13.0,15.3,0.121,0.57,22.2,0.111,0.389,0.27,38.9,0.6,0.518,0.159,0.161,99.31,98.86,82.38,79,0.082
0022400838,1610612752,NYK,New York,1630574,Ariel Hukporti,Ariel,C,,16.000000:03,119.3,125.0,124.2,121.9,-4.9,3.1,0.0,0.0,0.0,0.154,0.0,0.077,37.5,0.8,0.8,0.211,0.213,97.07,95.69,79.74,32,0.033
0022400838,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,41.000000:22,111.6,112.9,109.3,111.8,2.3,1.2,0.136,3.0,13.0,0.0,0.048,0.027,4.3,0.75,0.742,0.213,0.217,100.32,98.63,82.19,85,0.153
0022400838,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,36.000000:29,115.8,117.3,111.8,114.9,4.0,2.5,0.318,3.5,21.2,0.0,0.081,0.048,6.1,0.559,0.707,0.31,0.317,100.03,98.03,81.69,75,0.206
0022400838,1610612752,NYK,New York,1630540,Miles McBride,Miles,,,17.000000:06,92.8,83.8,85.3,87.2,7.5,-3.4,0.111,0.0,20.0,0.0,0.083,0.049,0.0,0.75,0.75,0.103,0.116,102.78,106.66,88.88,37,0.085
0022400838,1610612752,NYK,New York,1630173,Precious Achiuwa,Precious,,,30.000000:56,104.4,103.1,96.0,96.9,8.4,6.2,0.1,1.0,18.2,0.08,0.114,0.1,18.2,0.5,0.509,0.132,0.136,99.98,100.07,83.39,64,0.07
0022400838,1610612752,NYK,New York,1629013,Landry Shamet,Landry,,,5.000000:55,85.9,76.9,76.5,75.0,9.4,1.9,0.0,0.0,0.0,0.0,0.111,0.063,0.0,0.0,0.0,0.133,0.158,94.86,101.35,84.46,13,-0.087
0022400838,1610612752,NYK,New York,1626166,Cameron Payne,Cameron,,,11.000000:28,96.7,91.7,75.8,72.0,20.9,19.7,0.25,0.0,28.6,0.0,0.077,0.04,0.0,0.4,0.4,0.2,0.21,97.4,102.59,85.49,24,0.108
0022400838,1610612752,NYK,New York,1642359,Pacôme Dadiet,Pacôme,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022400838,1610612752,NYK,New York,1642278,Tyler Kolek,Tyler,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022400838,1610612752,NYK,New York,1630346,Matt Ryan,Matt,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022400838,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,,DND - Injury/Illness,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022400838,1610612752,NYK,New York,1626153,Delon Wright,Delon,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
