GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022300349,1610612745,HOU,Houston,1628415,Dillon Brooks,Dillon,F,,37.000000:40,6.0,12.0,0.5,3.0,7.0,0.429,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,16.0,0.0
0022300349,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,F,,22.000000:42,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,0.0,2.0,4.0,5.0,-17.0
0022300349,1610612745,HOU,Houston,1630578,Alperen Sengun,Alperen,C,,30.000000:31,11.0,20.0,0.55,1.0,3.0,0.333,1.0,2.0,0.5,4.0,4.0,8.0,6.0,1.0,0.0,4.0,5.0,24.0,-3.0
0022300349,1610612745,HOU,Houston,1630224,Jalen Green,Jalen,G,,34.000000:15,2.0,12.0,0.167,1.0,4.0,0.25,7.0,7.0,1.0,0.0,6.0,6.0,3.0,1.0,2.0,2.0,2.0,12.0,-15.0
0022300349,1610612745,HOU,Houston,1627832,Fred VanVleet,Fred,G,,45.000000:16,9.0,19.0,0.474,4.0,8.0,0.5,5.0,5.0,1.0,0.0,8.0,8.0,17.0,2.0,1.0,2.0,4.0,27.0,2.0
0022300349,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,,23.000000:38,6.0,6.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,15.0,16.0
0022300349,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,,,17.000000:13,5.0,9.0,0.556,2.0,5.0,0.4,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,14.0,2.0
0022300349,1610612745,HOU,Houston,1630256,Jae'Sean Tate,Jae'Sean,,,16.000000:18,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,-5.0
0022300349,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,33.000000:17,5.0,13.0,0.385,0.0,2.0,0.0,4.0,5.0,0.8,4.0,4.0,8.0,2.0,4.0,1.0,2.0,4.0,14.0,-1.0
0022300349,1610612745,HOU,Houston,1629111,Jock Landale,Jock,,,4.000000:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-4.0
