GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,teamSlug,PLAYER_ID,firstName,familyName,NICKNAME,playerSlug,START_POSITION,COMMENT,jerseyNum,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,PLAYER_NAME
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1631200,Kris,Murray,K. Murray,kris-murray,F,,,26:40,3,8,0.375,0,4,0.0,4,4,1.0,2,1,3,2,3,0,0,0,10,25.0,Kris Murray
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1641739,Toumani,Camara,T. Camara,toumani-camara,F,,,35:17,5,12,0.417,2,8,0.25,3,3,1.0,2,2,4,3,1,0,3,2,15,8.0,Toumani Camara
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1642270,Donovan,Clingan,D. Clingan,donovan-clingan,C,,,33:03,5,9,0.556,2,4,0.5,0,0,0.0,5,12,17,2,0,3,4,3,12,11.0,Donovan Clingan
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1631101,Shaedon,Sharpe,S. Sharpe,shaedon-sharpe,G,,,27:20,11,19,0.579,5,8,0.625,2,2,1.0,2,3,5,7,2,0,1,3,29,23.0,Shaedon Sharpe
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1630166,Deni,Avdija,D. Avdija,deni-avdija,G,,,28:47,10,19,0.526,4,10,0.4,9,10,0.9,0,8,8,9,0,0,2,0,33,23.0,Deni Avdija
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1631321,Sidy,Cissoko,S. Cissoko,sidy-cissoko,,,,25:28,5,8,0.625,4,5,0.8,0,0,0.0,0,0,0,2,2,1,0,2,14,-4.0,Sidy Cissoko
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1629057,Robert,Williams III,R. Williams III,robert-williams-iii,,,,12:24,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,2,1,0,0,2,2,4.0,Robert Williams III
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1631126,Caleb,Love,C. Love,caleb-love,,,,27:39,6,11,0.545,2,7,0.286,0,0,0.0,0,3,3,4,0,0,3,0,14,13.0,Caleb Love
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1641712,Rayan,Rupert,R. Rupert,rayan-rupert,,,,18:54,2,5,0.4,0,2,0.0,0,0,0.0,2,0,2,1,0,0,0,4,4,-7.0,Rayan Rupert
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1642905,Hansen,Yang,H. Yang,hansen-yang,,,,2:14,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,2.0,Hansen Yang
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1641871,Duop,Reath,D. Reath,duop-reath,,,,2:14,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2.0,Duop Reath
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,203924,Jerami,Grant,J. Grant,jerami-grant,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Jerami Grant
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1630703,Scoot,Henderson,S. Henderson,scoot-henderson,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Scoot Henderson
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,201950,Jrue,Holiday,J. Holiday,jrue-holiday,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Jrue Holiday
0022500509,1610612757,Portland,Trail Blazers,POR,blazers,1629680,Matisse,Thybulle,M. Thybulle,matisse-thybulle,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Matisse Thybulle
0022500509,1610612762,Utah,Jazz,UTA,jazz,1629004,Svi,Mykhailiuk,S. Mykhailiuk,svi-mykhailiuk,F,,,20:01,3,9,0.333,2,7,0.286,0,0,0.0,0,1,1,0,0,0,0,2,8,-13.0,Svi Mykhailiuk
0022500509,1610612762,Utah,Jazz,UTA,jazz,1628374,Lauri,Markkanen,L. Markkanen,lauri-markkanen,F,,,31:39,8,17,0.471,3,5,0.6,3,3,1.0,1,3,4,4,3,1,5,3,22,-23.0,Lauri Markkanen
0022500509,1610612762,Utah,Jazz,UTA,jazz,203994,Jusuf,Nurkić,J. Nurkić,jusuf-nurkić,C,,,30:48,9,12,0.75,2,3,0.667,1,1,1.0,7,5,12,5,2,0,1,4,21,-10.0,Jusuf Nurkić
0022500509,1610612762,Utah,Jazz,UTA,jazz,1641729,Brice,Sensabaugh,B. Sensabaugh,brice-sensabaugh,G,,,22:45,3,11,0.273,2,4,0.5,0,0,0.0,3,2,5,4,1,0,3,0,8,-12.0,Brice Sensabaugh
0022500509,1610612762,Utah,Jazz,UTA,jazz,1641718,Keyonte,George,K. George,keyonte-george,G,,,32:49,5,12,0.417,1,2,0.5,4,4,1.0,0,4,4,4,1,0,4,3,15,-26.0,Keyonte George
0022500509,1610612762,Utah,Jazz,UTA,jazz,1641707,Taylor,Hendricks,T. Hendricks,taylor-hendricks,,,,18:31,3,4,0.75,1,1,1.0,0,0,0.0,2,3,5,1,1,0,1,3,7,-13.0,Taylor Hendricks
0022500509,1610612762,Utah,Jazz,UTA,jazz,1642271,Kyle,Filipowski,K. Filipowski,kyle-filipowski,,,,19:58,5,8,0.625,1,4,0.25,2,3,0.667,0,5,5,2,1,0,0,0,13,-5.0,Kyle Filipowski
0022500509,1610612762,Utah,Jazz,UTA,jazz,1642268,Isaiah,Collier,I. Collier,isaiah-collier,,,,29:50,3,4,0.75,0,0,0.0,4,6,0.667,0,3,3,8,1,0,0,2,10,-1.0,Isaiah Collier
0022500509,1610612762,Utah,Jazz,UTA,jazz,1642262,Cody,Williams,C. Williams,cody-williams,,,,20:28,4,9,0.444,0,2,0.0,0,0,0.0,1,1,2,1,1,0,0,1,8,3.0,Cody Williams
0022500509,1610612762,Utah,Jazz,UTA,jazz,1642383,Walter,Clayton Jr.,W. Clayton Jr.,walter-clayton-jr,,,,13:11,2,6,0.333,1,3,0.333,0,0,0.0,0,1,1,3,0,1,1,1,5,0.0,Walter Clayton Jr.
0022500509,1610612762,Utah,Jazz,UTA,jazz,203937,Kyle,Anderson,K. Anderson,kyle-anderson,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Kyle Anderson
0022500509,1610612762,Utah,Jazz,UTA,jazz,1631131,Oscar,Tshiebwe,O. Tshiebwe,oscar-tshiebwe,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Oscar Tshiebwe
