GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,teamSlug,PLAYER_ID,firstName,familyName,NICKNAME,playerSlug,START_POSITION,COMMENT,jerseyNum,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,PLAYER_NAME
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1631114,Jalen,Williams,J. Williams,jalen-williams,F,,,32:04,4,10,0.4,0,1,0.0,6,7,0.857,1,3,4,6,2,0,2,2,14,21.0,Jalen Williams
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1631096,Chet,Holmgren,C. Holmgren,chet-holmgren,F,,,29:25,12,17,0.706,2,4,0.5,3,4,0.75,3,6,9,1,0,4,6,4,29,22.0,Chet Holmgren
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1628392,Isaiah,Hartenstein,I. Hartenstein,isaiah-hartenstein,C,,,19:39,2,6,0.333,0,0,0.0,1,1,1.0,0,3,3,3,1,1,2,4,5,13.0,Isaiah Hartenstein
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1629652,Luguentz,Dort,L. Dort,luguentz-dort,G,,,23:02,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,1,1,2,2,3,7.0,Luguentz Dort
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1628983,Shai,Gilgeous-Alexander,S. Gilgeous-Alexander,shai-gilgeous-alexander,G,,,29:01,10,13,0.769,0,2,0.0,7,9,0.778,0,2,2,5,2,0,1,0,27,19.0,Shai Gilgeous-Alexander
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1630198,Isaiah,Joe,I. Joe,isaiah-joe,,,,5:12,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-8.0,Isaiah Joe
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1627936,Alex,Caruso,A. Caruso,alex-caruso,,,,15:37,3,5,0.6,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,0,7,7.0,Alex Caruso
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1641717,Cason,Wallace,C. Wallace,cason-wallace,,,,25:37,4,8,0.5,1,3,0.333,0,0,0.0,2,2,4,4,2,0,0,1,9,18.0,Cason Wallace
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1642349,Ajay,Mitchell,A. Mitchell,ajay-mitchell,,,,20:08,5,9,0.556,2,4,0.5,1,2,0.5,0,1,1,3,2,0,0,4,13,16.0,Ajay Mitchell
0022500442,1610612760,Oklahoma City,Thunder,OKC,thunder,1630598,Aaron,Wiggins,A. Wiggins,aaron-wiggins,,,,22:58,6,8,0.75,2,4,0.5,1,2,0.5,0,3,3,3,1,0,0,0,15,8.0,Aaron Wiggins
